3,2,-,-,1,0,6
4,-,-,-,0,2,6
6,-,-,0,-,-,6
4,1,1,-,-,-,6
6,0,0,-,-,-,6
6,0,0,0,0,0,6
6,0,-,-,-,-,6
0,2,1,0,0,2,5
3,-,-,2,-,-,5
3,2,-,-,0,0,5
5,-,-,-,-,-,5
5,-,-,0,-,-,5
4,-,-,0,-,0,4
3,0,0,1,0,0,4
4,-,-,-,-,-,4
4,-,-,0,-,0,4
4,-,0,0,0,0,4
0,2,-,-,-,2,4
-,4,-,-,-,-,4
4,-,-,-,-,-,4
4,0,0,0,0,0,4
-,4,-,-,-,-,4
-,4,-,-,0,-,4
4,0,0,-,-,0,4
4,-,0,-,-,0,4
4,0,0,0,-,0,4
4,0,0,0,0,0,4
4,-,0,0,-,0,4
3,1,-,-,0,-,4
3,1,0,0,-,-,4
4,-,-,-,-,-,4
4,0,-,0,0,0,4
0,0,0,0,3,-,3
3,0,0,0,0,0,3
0,3,0,-,-,-,3
3,0,0,0,0,0,3
0,2,0,-,1,0,3
1,2,0,-,-,0,3
-,-,0,3,-,-,3
3,0,0,0,0,0,3
0,2,0,0,0,0,2
0,2,0,0,0,0,2
2,-,-,-,-,-,2
0,2,-,0,-,-,2
2,0,0,-,0,-,2
-,2,-,-,0,-,2
-,2,-,-,-,-,2
0,0,2,-,0,0,2
2,-,-,-,-,-,2
0,-,0,1,-,-,1
0,-,1,-,-,-,1
1,-,-,-,-,-,1
0,1,-,-,-,-,1
1,-,0,-,-,-,1
0,1,-,-,0,-,1
1,0,-,0,-,-,1
1,0,0,0,0,0,1
0,0,0,1,0,0,1
-,1,-,-,-,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,-,-,0,-,0
0,0,0,0,-,-,0
0,-,0,-,-,-,0
0,0,0,0,0,0,0
0,-,-,-,-,-,0
0,-,-,-,-,-,0
0,0,0,0,0,-,0
0,-,0,-,-,0,0
0,0,0,0,-,-,0
0,0,0,0,-,0,0
0,0,0,-,0,-,0
-,-,-,0,-,-,0
0,-,-,-,-,-,0
0,-,0,-,0,-,0
0,0,0,0,0,0,0
-,0,-,0,0,-,0
0,-,-,-,-,-,0
0,0,0,0,0,0,0
0,-,-,-,-,-,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
-,0,0,-,-,-,0
-,-,-,-,-,0,0
-,0,-,-,0,-,0
-,-,-,-,-,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
-,-,0,-,-,-,0
-,0,-,-,-,-,0
0,0,0,0,0,0,0
-,-,0,-,-,-,0
0,-,-,-,-,-,0
-,-,0,-,-,-,0
0,-,0,-,-,-,0
0,0,0,-,-,-,0
0,-,-,-,-,-,0
0,0,-,-,-,-,0
0,0,0,0,-,-,0
0,0,-,-,-,-,0
-,0,-,-,-,-,0
0,0,0,-,0,0,0
0,0,0,0,-,0,0
-,0,0,-,0,-,0
0,-,-,-,-,-,0
