0,7,0,-,6,7,7,0,27
7,7,2,-,4,0,7,0,27
7,5,1,-,7,4,3,-,27
4,7,2,-,7,6,-,-,26
0,7,1,3,7,1,7,-,26
0,7,1,3,7,5,3,-,26
4,7,1,1,6,0,7,0,26
4,6,-,0,2,7,7,0,26
-,7,-,-,5,7,7,-,26
7,7,-,1,6,5,0,-,26
7,7,2,-,7,-,3,-,26
7,7,1,-,4,7,-,0,26
-,7,-,-,4,7,7,-,25
7,0,-,4,7,0,7,-,25
2,7,-,-,7,7,2,-,25
5,7,-,-,7,6,0,-,25
0,7,2,2,7,-,7,-,25
7,7,2,0,2,0,7,-,25
7,7,2,-,7,2,-,-,25
3,7,1,-,7,0,6,0,24
7,7,7,3,-,-,-,-,24
7,6,-,-,6,5,-,-,24
0,6,-,-,4,7,7,-,24
2,7,-,-,7,7,0,-,23
2,7,-,-,7,7,0,-,23
7,6,-,-,7,-,3,-,23
0,7,1,1,7,7,-,-,23
-,6,7,-,6,-,3,-,22
0,7,-,-,7,1,7,0,22
0,7,0,-,7,1,7,-,22
-,7,2,6,7,0,-,-,22
2,-,2,-,7,4,7,-,22
-,7,-,-,7,7,-,-,21
2,7,1,1,3,7,0,-,21
1,6,-,-,7,-,7,-,21
1,-,-,-,7,6,7,-,21
7,-,-,-,7,-,7,-,21
7,-,-,-,7,0,7,-,21
7,7,-,-,2,5,-,-,21
-,7,-,-,7,-,7,-,21
-,7,-,-,7,-,7,-,21
-,-,-,-,7,7,7,-,21
7,0,1,0,7,0,5,0,20
7,-,1,-,7,5,-,-,20
-,7,-,-,5,7,1,-,20
7,-,-,-,7,6,-,-,20
0,7,2,0,7,1,3,0,20
3,-,2,-,7,5,3,-,20
-,-,-,-,7,6,7,-,20
0,7,-,-,4,5,3,-,19
0,7,0,0,4,1,7,-,19
7,-,-,-,7,4,1,-,19
-,-,-,-,7,5,7,-,19
0,7,1,-,7,-,3,-,18
-,7,-,-,1,7,3,-,18
4,7,-,-,7,-,-,-,18
5,7,1,0,4,1,0,0,18
7,-,6,-,5,0,-,-,18
1,-,2,1,7,7,-,-,18
-,-,2,-,7,6,3,-,18
0,7,0,0,7,0,3,0,17
1,7,2,0,7,0,-,-,17
6,0,1,-,7,-,3,-,17
3,7,-,-,7,0,0,-,17
1,7,2,-,7,0,0,-,17
7,7,-,3,-,-,-,-,17
-,-,-,-,6,7,4,-,17
-,-,-,-,7,7,3,-,17
7,2,-,-,7,-,0,-,16
1,-,1,0,7,7,-,0,16
3,2,-,-,6,5,-,0,16
2,6,-,-,4,4,-,-,16
6,7,-,-,3,-,-,-,16
2,-,-,-,7,7,-,-,16
-,-,2,-,7,4,3,-,16
1,7,-,-,7,-,-,-,15
